Time,Indicator,Employment Status,Indicator Status,Location,Amount,Unemployment Rate,Formatted for charts
,Change,,Total Population,"Carroll County, Maryland",-216,,-216
,Change,,Median Household Income,"Carroll County, Maryland",3450,,"3,450.00"
2017,Employment Status By Disability Status,Employed,Disabled,"Carroll County, Maryland",3704,,"3,704.00"
2017,Employment Status By Disability Status,Employed,Non Disabled,"Carroll County, Maryland",77928,,"77,928.00"
2017,Employment Status By Disability Status,Unemployed,Disabled,"Carroll County, Maryland",442,,442
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Carroll County, Maryland",2843,,"2,843.00"
2017,Employment Status By Disability Status,Labor Force,Disabled,"Carroll County, Maryland",4146,,"4,146.00"
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"Carroll County, Maryland",80771,,"80,771.00"
2016,Employment Status By Disability Status,Employed,Disabled,"Carroll County, Maryland",3612,,"3,612.00"
2016,Employment Status By Disability Status,Employed,Non Disabled,"Carroll County, Maryland",78231,,"78,231.00"
2016,Employment Status By Disability Status,Unemployed,Disabled,"Carroll County, Maryland",502,,502
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Carroll County, Maryland",3200,,"3,200.00"
2016,Employment Status By Disability Status,Labor Force,Disabled,"Carroll County, Maryland",4114,,"4,114.00"
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"Carroll County, Maryland",81431,,"81,431.00"
2015,Employment Status By Disability Status,Employed,Disabled,"Carroll County, Maryland",3416,,"3,416.00"
2015,Employment Status By Disability Status,Employed,Non Disabled,"Carroll County, Maryland",78252,,"78,252.00"
2015,Employment Status By Disability Status,Unemployed,Disabled,"Carroll County, Maryland",456,,456
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Carroll County, Maryland",3319,,"3,319.00"
2015,Employment Status By Disability Status,Labor Force,Disabled,"Carroll County, Maryland",3872,,"3,872.00"
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"Carroll County, Maryland",81571,,"81,571.00"
2017,Employment Status By Education,Employed,Less than Highschool,"Carroll County, Maryland",2887,,"2,887.00"
2017,Employment Status By Education,Employed,Highschool,"Carroll County, Maryland",18581,,"18,581.00"
2017,Employment Status By Education,Employed,Some College,"Carroll County, Maryland",20788,,"20,788.00"
2017,Employment Status By Education,Employed,Bachelor's or Higher,"Carroll County, Maryland",29410,,"29,410.00"
2017,Employment Status By Education,Unemployed,Less than Highschool,"Carroll County, Maryland",274,,274
2017,Employment Status By Education,Unemployed,Highschool,"Carroll County, Maryland",837,,837
2017,Employment Status By Education,Unemployed,Some College,"Carroll County, Maryland",693,,693
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"Carroll County, Maryland",558,,558
2017,Employment Status By Education,NIL,Less than Highschool,"Carroll County, Maryland",1751,,"1,751.00"
2017,Employment Status By Education,NIL,Highschool,"Carroll County, Maryland",5116,,"5,116.00"
2017,Employment Status By Education,NIL,Some College,"Carroll County, Maryland",4329,,"4,329.00"
2017,Employment Status By Education,NIL,Bachelor's or Higher,"Carroll County, Maryland",3787,,"3,787.00"
2016,Employment Status By Education,Employed,Less than Highschool,"Carroll County, Maryland",3028,,"3,028.00"
2016,Employment Status By Education,Employed,Highschool,"Carroll County, Maryland",19067,,"19,067.00"
2016,Employment Status By Education,Employed,Some College,"Carroll County, Maryland",21054,,"21,054.00"
2016,Employment Status By Education,Employed,Bachelor's or Higher,"Carroll County, Maryland",28552,,"28,552.00"
2016,Employment Status By Education,Unemployed,Less than Highschool,"Carroll County, Maryland",338,,338
2016,Employment Status By Education,Unemployed,Highschool,"Carroll County, Maryland",929,,929
2016,Employment Status By Education,Unemployed,Some College,"Carroll County, Maryland",807,,807
2016,Employment Status By Education,Unemployed,Bachelor's or Higher,"Carroll County, Maryland",652,,652
2016,Employment Status By Education,NIL,Less than Highschool,"Carroll County, Maryland",1502,,"1,502.00"
2016,Employment Status By Education,NIL,Highschool,"Carroll County, Maryland",5079,,"5,079.00"
2016,Employment Status By Education,NIL,Some College,"Carroll County, Maryland",4338,,"4,338.00"
2016,Employment Status By Education,NIL,Bachelor's or Higher,"Carroll County, Maryland",3688,,"3,688.00"
2015,Employment Status By Education,Employed,Less than Highschool,"Carroll County, Maryland",3058,,"3,058.00"
2015,Employment Status By Education,Employed,Highschool,"Carroll County, Maryland",18860,,"18,860.00"
2015,Employment Status By Education,Employed,Some College,"Carroll County, Maryland",21619,,"21,619.00"
2015,Employment Status By Education,Employed,Bachelor's or Higher,"Carroll County, Maryland",28060,,"28,060.00"
2015,Employment Status By Education,Unemployed,Less than Highschool,"Carroll County, Maryland",383,,383
2015,Employment Status By Education,Unemployed,Highschool,"Carroll County, Maryland",957,,957
2015,Employment Status By Education,Unemployed,Some College,"Carroll County, Maryland",830,,830
2015,Employment Status By Education,Unemployed,Bachelor's or Higher,"Carroll County, Maryland",609,,609
2015,Employment Status By Education,NIL,Less than Highschool,"Carroll County, Maryland",1413,,"1,413.00"
2015,Employment Status By Education,NIL,Highschool,"Carroll County, Maryland",5158,,"5,158.00"
2015,Employment Status By Education,NIL,Some College,"Carroll County, Maryland",4436,,"4,436.00"
2015,Employment Status By Education,NIL,Bachelor's or Higher,"Carroll County, Maryland",3771,,"3,771.00"
2017,Employment Status By Poverty Status,Labor Force,Above Poverty,"Carroll County, Maryland",88728,,"88,728.00"
2017,Employment Status By Poverty Status,Labor Force,Below Poverty,"Carroll County, Maryland",2775,,"2,775.00"
2017,Employment Status By Poverty Status,Employed,Above Poverty,"Carroll County, Maryland",85773,,"85,773.00"
2017,Employment Status By Poverty Status,Employed,Below Poverty,"Carroll County, Maryland",2135,,"2,135.00"
2017,Employment Status By Poverty Status,Unemployed,Above Poverty,"Carroll County, Maryland",2955,,"2,955.00"
2017,Employment Status By Poverty Status,Unemployed,Below Poverty,"Carroll County, Maryland",640,,640
2016,Employment Status By Poverty Status,Labor Force,Above Poverty,"Carroll County, Maryland",89325,,"89,325.00"
2016,Employment Status By Poverty Status,Labor Force,Below Poverty,"Carroll County, Maryland",2947,,"2,947.00"
2016,Employment Status By Poverty Status,Employed,Above Poverty,"Carroll County, Maryland",86030,,"86,030.00"
2016,Employment Status By Poverty Status,Employed,Below Poverty,"Carroll County, Maryland",2146,,"2,146.00"
2016,Employment Status By Poverty Status,Unemployed,Above Poverty,"Carroll County, Maryland",3295,,"3,295.00"
2016,Employment Status By Poverty Status,Unemployed,Below Poverty,"Carroll County, Maryland",801,,801
2015,Employment Status By Poverty Status,Labor Force,Above Poverty,"Carroll County, Maryland",47556,,"47,556.00"
2015,Employment Status By Poverty Status,Labor Force,Below Poverty,"Carroll County, Maryland",2915,,"2,915.00"
2015,Employment Status By Poverty Status,Employed,Above Poverty,"Carroll County, Maryland",45639,,"45,639.00"
2015,Employment Status By Poverty Status,Employed,Below Poverty,"Carroll County, Maryland",2129,,"2,129.00"
2015,Employment Status By Poverty Status,Unemployed,Above Poverty,"Carroll County, Maryland",1917,,"1,917.00"
2015,Employment Status By Poverty Status,Unemployed,Below Poverty,"Carroll County, Maryland",786,,786
2017,Median Household Income,,,"Carroll County, Maryland",90510,,"90,510.00"
2016,Median Household Income,,,"Carroll County, Maryland",87060,,"87,060.00"
2015,Median Household Income,,,"Carroll County, Maryland",85385,,"85,385.00"
2017,Total Population,,,"Carroll County, Maryland",167319,,"167,319.00"
2016,Total Population,,,"Carroll County, Maryland",167535,,"167,535.00"
2015,Total Population,,,"Carroll County, Maryland",167444,,"167,444.00"
2017,Unemployment By Gender,,Male,"Carroll County, Maryland",3.6,0.036,3.6
2017,Unemployment By Gender,,Female,"Carroll County, Maryland",3.5,0.035,3.5
2016,Unemployment By Gender,,Male,"Carroll County, Maryland",4.1,0.041,4.1
2016,Unemployment By Gender,,Female,"Carroll County, Maryland",3.8,0.038,3.8
2015,Unemployment By Gender,,Male,"Carroll County, Maryland",4.3,0.043,4.3
2015,Unemployment By Gender,,Female,"Carroll County, Maryland",3.9,0.039,3.9
2017,Unemployment By Race,,White,"Carroll County, Maryland",3.9,0.039,3.9
2017,Unemployment By Race,,Black,"Carroll County, Maryland",5.9,0.059,5.9
2017,Unemployment By Race,,Asian,"Carroll County, Maryland",2.6,0.026,2.6
2017,Unemployment By Race,,Hispanic,"Carroll County, Maryland",2.6,0.026,2.6
2016,Unemployment By Race,,White,"Carroll County, Maryland",,0,0
2016,Unemployment By Race,,Black,"Carroll County, Maryland",,0,0
2016,Unemployment By Race,,Asian,"Carroll County, Maryland",,0,0
2016,Unemployment By Race,,Hispanic,"Carroll County, Maryland",,0,0
2015,Unemployment By Race,,White,"Carroll County, Maryland",4.6,0.046,4.6
2015,Unemployment By Race,,Black,"Carroll County, Maryland",5.7,0.057,5.7
2015,Unemployment By Race,,Asian,"Carroll County, Maryland",2.2,0.022,2.2
2015,Unemployment By Race,,Hispanic,"Carroll County, Maryland",3.4,0.034,3.4
2017,Unemployment By Veteran Status,,Veteran,"Carroll County, Maryland",3.2,0.032,3.2
2017,Unemployment By Veteran Status,,Non Veteran,"Carroll County, Maryland",3.9,0.039,3.9
2016,Unemployment By Veteran Status,,Veteran,"Carroll County, Maryland",3.8,0.038,3.8
2016,Unemployment By Veteran Status,,Non Veteran,"Carroll County, Maryland",4.3,0.043,4.3
2015,Unemployment By Veteran Status,,Veteran,"Carroll County, Maryland",3,0.03,3
2015,Unemployment By Veteran Status,,Non Veteran,"Carroll County, Maryland",4.4,0.044,4.4
,Change,,Total Population,"Cecil County, Maryland",241,,241
,Change,,Median Household Income,"Cecil County, Maryland",2578,,"2,578.00"
2017,Employment Status By Disability Status,Employed,Disabled,"Cecil County, Maryland",2520,,"2,520.00"
2017,Employment Status By Disability Status,Employed,Non Disabled,"Cecil County, Maryland",44870,,"44,870.00"
2017,Employment Status By Disability Status,Unemployed,Disabled,"Cecil County, Maryland",260,,260
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Cecil County, Maryland",2680,,"2,680.00"
2017,Employment Status By Disability Status,Labor Force,Disabled,"Cecil County, Maryland",2780,,"2,780.00"
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"Cecil County, Maryland",47550,,"47,550.00"
2016,Employment Status By Disability Status,Employed,Disabled,"Cecil County, Maryland",2571,,"2,571.00"
2016,Employment Status By Disability Status,Employed,Non Disabled,"Cecil County, Maryland",43994,,"43,994.00"
2016,Employment Status By Disability Status,Unemployed,Disabled,"Cecil County, Maryland",297,,297
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Cecil County, Maryland",3030,,"3,030.00"
2016,Employment Status By Disability Status,Labor Force,Disabled,"Cecil County, Maryland",2868,,"2,868.00"
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"Cecil County, Maryland",47024,,"47,024.00"
2015,Employment Status By Disability Status,Employed,Disabled,"Cecil County, Maryland",2026,,"2,026.00"
2015,Employment Status By Disability Status,Employed,Non Disabled,"Cecil County, Maryland",44004,,"44,004.00"
2015,Employment Status By Disability Status,Unemployed,Disabled,"Cecil County, Maryland",427,,427
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Cecil County, Maryland",3346,,"3,346.00"
2015,Employment Status By Disability Status,Labor Force,Disabled,"Cecil County, Maryland",2453,,"2,453.00"
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"Cecil County, Maryland",47350,,"47,350.00"
2017,Employment Status By Education,Employed,Less than Highschool,"Cecil County, Maryland",2282,,"2,282.00"
2017,Employment Status By Education,Employed,Highschool,"Cecil County, Maryland",14418,,"14,418.00"
2017,Employment Status By Education,Employed,Some College,"Cecil County, Maryland",13068,,"13,068.00"
2017,Employment Status By Education,Employed,Bachelor's or Higher,"Cecil County, Maryland",11754,,"11,754.00"
2017,Employment Status By Education,Unemployed,Less than Highschool,"Cecil County, Maryland",368,,368
2017,Employment Status By Education,Unemployed,Highschool,"Cecil County, Maryland",840,,840
2017,Employment Status By Education,Unemployed,Some College,"Cecil County, Maryland",587,,587
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"Cecil County, Maryland",406,,406
2017,Employment Status By Education,NIL,Less than Highschool,"Cecil County, Maryland",2467,,"2,467.00"
2017,Employment Status By Education,NIL,Highschool,"Cecil County, Maryland",4530,,"4,530.00"
2017,Employment Status By Education,NIL,Some College,"Cecil County, Maryland",3177,,"3,177.00"
2017,Employment Status By Education,NIL,Bachelor's or Higher,"Cecil County, Maryland",1282,,"1,282.00"
2016,Employment Status By Education,Employed,Less than Highschool,"Cecil County, Maryland",2303,,"2,303.00"
2016,Employment Status By Education,Employed,Highschool,"Cecil County, Maryland",14170,,"14,170.00"
2016,Employment Status By Education,Employed,Some College,"Cecil County, Maryland",13095,,"13,095.00"
2016,Employment Status By Education,Employed,Bachelor's or Higher,"Cecil County, Maryland",11183,,"11,183.00"
2016,Employment Status By Education,Unemployed,Less than Highschool,"Cecil County, Maryland",354,,354
2016,Employment Status By Education,Unemployed,Highschool,"Cecil County, Maryland",990,,990
2016,Employment Status By Education,Unemployed,Some College,"Cecil County, Maryland",563,,563
2016,Employment Status By Education,Unemployed,Bachelor's or Higher,"Cecil County, Maryland",466,,466
2016,Employment Status By Education,NIL,Less than Highschool,"Cecil County, Maryland",2714,,"2,714.00"
2016,Employment Status By Education,NIL,Highschool,"Cecil County, Maryland",5085,,"5,085.00"
2016,Employment Status By Education,NIL,Some College,"Cecil County, Maryland",2812,,"2,812.00"
2016,Employment Status By Education,NIL,Bachelor's or Higher,"Cecil County, Maryland",1482,,"1,482.00"
2015,Employment Status By Education,Employed,Less than Highschool,"Cecil County, Maryland",1832,,"1,832.00"
2015,Employment Status By Education,Employed,Highschool,"Cecil County, Maryland",14039,,"14,039.00"
2015,Employment Status By Education,Employed,Some College,"Cecil County, Maryland",13128,,"13,128.00"
2015,Employment Status By Education,Employed,Bachelor's or Higher,"Cecil County, Maryland",11076,,"11,076.00"
2015,Employment Status By Education,Unemployed,Less than Highschool,"Cecil County, Maryland",413,,413
2015,Employment Status By Education,Unemployed,Highschool,"Cecil County, Maryland",1114,,"1,114.00"
2015,Employment Status By Education,Unemployed,Some College,"Cecil County, Maryland",673,,673
2015,Employment Status By Education,Unemployed,Bachelor's or Higher,"Cecil County, Maryland",406,,406
2015,Employment Status By Education,NIL,Less than Highschool,"Cecil County, Maryland",3006,,"3,006.00"
2015,Employment Status By Education,NIL,Highschool,"Cecil County, Maryland",4974,,"4,974.00"
2015,Employment Status By Education,NIL,Some College,"Cecil County, Maryland",2836,,"2,836.00"
2015,Employment Status By Education,NIL,Bachelor's or Higher,"Cecil County, Maryland",1410,,"1,410.00"
2017,Employment Status By Poverty Status,Labor Force,Above Poverty,"Cecil County, Maryland",51538,,"51,538.00"
2017,Employment Status By Poverty Status,Labor Force,Below Poverty,"Cecil County, Maryland",2201,,"2,201.00"
2017,Employment Status By Poverty Status,Employed,Above Poverty,"Cecil County, Maryland",48983,,"48,983.00"
2017,Employment Status By Poverty Status,Employed,Below Poverty,"Cecil County, Maryland",1635,,"1,635.00"
2017,Employment Status By Poverty Status,Unemployed,Above Poverty,"Cecil County, Maryland",2555,,"2,555.00"
2017,Employment Status By Poverty Status,Unemployed,Below Poverty,"Cecil County, Maryland",566,,566
2016,Employment Status By Poverty Status,Labor Force,Above Poverty,"Cecil County, Maryland",50827,,"50,827.00"
2016,Employment Status By Poverty Status,Labor Force,Below Poverty,"Cecil County, Maryland",2325,,"2,325.00"
2016,Employment Status By Poverty Status,Employed,Above Poverty,"Cecil County, Maryland",47925,,"47,925.00"
2016,Employment Status By Poverty Status,Employed,Below Poverty,"Cecil County, Maryland",1738,,"1,738.00"
2016,Employment Status By Poverty Status,Unemployed,Above Poverty,"Cecil County, Maryland",2902,,"2,902.00"
2016,Employment Status By Poverty Status,Unemployed,Below Poverty,"Cecil County, Maryland",587,,587
2015,Employment Status By Poverty Status,Labor Force,Above Poverty,"Cecil County, Maryland",26813,,"26,813.00"
2015,Employment Status By Poverty Status,Labor Force,Below Poverty,"Cecil County, Maryland",2199,,"2,199.00"
2015,Employment Status By Poverty Status,Employed,Above Poverty,"Cecil County, Maryland",24805,,"24,805.00"
2015,Employment Status By Poverty Status,Employed,Below Poverty,"Cecil County, Maryland",1544,,"1,544.00"
2015,Employment Status By Poverty Status,Unemployed,Above Poverty,"Cecil County, Maryland",2008,,"2,008.00"
2015,Employment Status By Poverty Status,Unemployed,Below Poverty,"Cecil County, Maryland",655,,655
2017,Median Household Income,,,"Cecil County, Maryland",70516,,"70,516.00"
2016,Median Household Income,,,"Cecil County, Maryland",67938,,"67,938.00"
2015,Median Household Income,,,"Cecil County, Maryland",66396,,"66,396.00"
2017,Total Population,,,"Cecil County, Maryland",102416,,"102,416.00"
2016,Total Population,,,"Cecil County, Maryland",102175,,"102,175.00"
2015,Total Population,,,"Cecil County, Maryland",101960,,"101,960.00"
2017,Unemployment By Gender,,Male,"Cecil County, Maryland",6.2,0.062,6.2
2017,Unemployment By Gender,,Female,"Cecil County, Maryland",4.7,0.047,4.7
2016,Unemployment By Gender,,Male,"Cecil County, Maryland",6.7,0.067,6.7
2016,Unemployment By Gender,,Female,"Cecil County, Maryland",5.7,0.057,5.7
2015,Unemployment By Gender,,Male,"Cecil County, Maryland",8.5,0.085,8.5
2015,Unemployment By Gender,,Female,"Cecil County, Maryland",5.2,0.052,5.2
2017,Unemployment By Race,,White,"Cecil County, Maryland",5.9,0.059,5.9
2017,Unemployment By Race,,Black,"Cecil County, Maryland",4.6,0.046,4.6
2017,Unemployment By Race,,Asian,"Cecil County, Maryland",4.9,0.049,4.9
2017,Unemployment By Race,,Hispanic,"Cecil County, Maryland",5.1,0.051,5.1
2016,Unemployment By Race,,White,"Cecil County, Maryland",,0,0
2016,Unemployment By Race,,Black,"Cecil County, Maryland",,0,0
2016,Unemployment By Race,,Asian,"Cecil County, Maryland",,0,0
2016,Unemployment By Race,,Hispanic,"Cecil County, Maryland",,0,0
2015,Unemployment By Race,,White,"Cecil County, Maryland",7.1,0.071,7.1
2015,Unemployment By Race,,Black,"Cecil County, Maryland",9.7,0.097,9.7
2015,Unemployment By Race,,Asian,"Cecil County, Maryland",12.2,0.122,12.2
2015,Unemployment By Race,,Hispanic,"Cecil County, Maryland",5.5,0.055,5.5
2017,Unemployment By Veteran Status,,Veteran,"Cecil County, Maryland",4.6,0.046,4.6
2017,Unemployment By Veteran Status,,Non Veteran,"Cecil County, Maryland",5.8,0.058,5.8
2016,Unemployment By Veteran Status,,Veteran,"Cecil County, Maryland",4.7,0.047,4.7
2016,Unemployment By Veteran Status,,Non Veteran,"Cecil County, Maryland",6.7,0.067,6.7
2015,Unemployment By Veteran Status,,Veteran,"Cecil County, Maryland",4.6,0.046,4.6
2015,Unemployment By Veteran Status,,Non Veteran,"Cecil County, Maryland",7.6,0.076,7.6
,Change,,Total Population,"Charles County, Maryland",1664,,"1,664.00"
,Change,,Median Household Income,"Charles County, Maryland",2600,,"2,600.00"
2017,Employment Status By Disability Status,Employed,Disabled,"Charles County, Maryland",2810,,"2,810.00"
2017,Employment Status By Disability Status,Employed,Non Disabled,"Charles County, Maryland",72240,,"72,240.00"
2017,Employment Status By Disability Status,Unemployed,Disabled,"Charles County, Maryland",449,,449
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Charles County, Maryland",3025,,"3,025.00"
2017,Employment Status By Disability Status,Labor Force,Disabled,"Charles County, Maryland",3259,,"3,259.00"
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"Charles County, Maryland",75265,,"75,265.00"
2016,Employment Status By Disability Status,Employed,Disabled,"Charles County, Maryland",2637,,"2,637.00"
2016,Employment Status By Disability Status,Employed,Non Disabled,"Charles County, Maryland",71648,,"71,648.00"
2016,Employment Status By Disability Status,Unemployed,Disabled,"Charles County, Maryland",386,,386
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Charles County, Maryland",3389,,"3,389.00"
2016,Employment Status By Disability Status,Labor Force,Disabled,"Charles County, Maryland",3023,,"3,023.00"
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"Charles County, Maryland",75037,,"75,037.00"
2015,Employment Status By Disability Status,Employed,Disabled,"Charles County, Maryland",2733,,"2,733.00"
2015,Employment Status By Disability Status,Employed,Non Disabled,"Charles County, Maryland",70592,,"70,592.00"
2015,Employment Status By Disability Status,Unemployed,Disabled,"Charles County, Maryland",488,,488
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Charles County, Maryland",4167,,"4,167.00"
2015,Employment Status By Disability Status,Labor Force,Disabled,"Charles County, Maryland",3221,,"3,221.00"
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"Charles County, Maryland",74759,,"74,759.00"
2017,Employment Status By Education,Employed,Less than Highschool,"Charles County, Maryland",2440,,"2,440.00"
2017,Employment Status By Education,Employed,Highschool,"Charles County, Maryland",19099,,"19,099.00"
2017,Employment Status By Education,Employed,Some College,"Charles County, Maryland",22651,,"22,651.00"
2017,Employment Status By Education,Employed,Bachelor's or Higher,"Charles County, Maryland",22474,,"22,474.00"
2017,Employment Status By Education,Unemployed,Less than Highschool,"Charles County, Maryland",377,,377
2017,Employment Status By Education,Unemployed,Highschool,"Charles County, Maryland",851,,851
2017,Employment Status By Education,Unemployed,Some College,"Charles County, Maryland",765,,765
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"Charles County, Maryland",345,,345
2017,Employment Status By Education,NIL,Less than Highschool,"Charles County, Maryland",2203,,"2,203.00"
2017,Employment Status By Education,NIL,Highschool,"Charles County, Maryland",5894,,"5,894.00"
2017,Employment Status By Education,NIL,Some College,"Charles County, Maryland",4902,,"4,902.00"
2017,Employment Status By Education,NIL,Bachelor's or Higher,"Charles County, Maryland",2427,,"2,427.00"
2016,Employment Status By Education,Employed,Less than Highschool,"Charles County, Maryland",2371,,"2,371.00"
2016,Employment Status By Education,Employed,Highschool,"Charles County, Maryland",18933,,"18,933.00"
2016,Employment Status By Education,Employed,Some College,"Charles County, Maryland",23156,,"23,156.00"
2016,Employment Status By Education,Employed,Bachelor's or Higher,"Charles County, Maryland",21294,,"21,294.00"
2016,Employment Status By Education,Unemployed,Less than Highschool,"Charles County, Maryland",351,,351
2016,Employment Status By Education,Unemployed,Highschool,"Charles County, Maryland",966,,966
2016,Employment Status By Education,Unemployed,Some College,"Charles County, Maryland",959,,959
2016,Employment Status By Education,Unemployed,Bachelor's or Higher,"Charles County, Maryland",388,,388
2016,Employment Status By Education,NIL,Less than Highschool,"Charles County, Maryland",1930,,"1,930.00"
2016,Employment Status By Education,NIL,Highschool,"Charles County, Maryland",6052,,"6,052.00"
2016,Employment Status By Education,NIL,Some College,"Charles County, Maryland",5093,,"5,093.00"
2016,Employment Status By Education,NIL,Bachelor's or Higher,"Charles County, Maryland",2222,,"2,222.00"
2015,Employment Status By Education,Employed,Less than Highschool,"Charles County, Maryland",2436,,"2,436.00"
2015,Employment Status By Education,Employed,Highschool,"Charles County, Maryland",18551,,"18,551.00"
2015,Employment Status By Education,Employed,Some College,"Charles County, Maryland",22808,,"22,808.00"
2015,Employment Status By Education,Employed,Bachelor's or Higher,"Charles County, Maryland",21161,,"21,161.00"
2015,Employment Status By Education,Unemployed,Less than Highschool,"Charles County, Maryland",344,,344
2015,Employment Status By Education,Unemployed,Highschool,"Charles County, Maryland",1425,,"1,425.00"
2015,Employment Status By Education,Unemployed,Some College,"Charles County, Maryland",1122,,"1,122.00"
2015,Employment Status By Education,Unemployed,Bachelor's or Higher,"Charles County, Maryland",434,,434
2015,Employment Status By Education,NIL,Less than Highschool,"Charles County, Maryland",1960,,"1,960.00"
2015,Employment Status By Education,NIL,Highschool,"Charles County, Maryland",5785,,"5,785.00"
2015,Employment Status By Education,NIL,Some College,"Charles County, Maryland",4790,,"4,790.00"
2015,Employment Status By Education,NIL,Bachelor's or Higher,"Charles County, Maryland",2149,,"2,149.00"
2017,Employment Status By Poverty Status,Labor Force,Above Poverty,"Charles County, Maryland",79677,,"79,677.00"
2017,Employment Status By Poverty Status,Labor Force,Below Poverty,"Charles County, Maryland",2690,,"2,690.00"
2017,Employment Status By Poverty Status,Employed,Above Poverty,"Charles County, Maryland",76602,,"76,602.00"
2017,Employment Status By Poverty Status,Employed,Below Poverty,"Charles County, Maryland",2027,,"2,027.00"
2017,Employment Status By Poverty Status,Unemployed,Above Poverty,"Charles County, Maryland",3075,,"3,075.00"
2017,Employment Status By Poverty Status,Unemployed,Below Poverty,"Charles County, Maryland",663,,663
2016,Employment Status By Poverty Status,Labor Force,Above Poverty,"Charles County, Maryland",79002,,"79,002.00"
2016,Employment Status By Poverty Status,Labor Force,Below Poverty,"Charles County, Maryland",2850,,"2,850.00"
2016,Employment Status By Poverty Status,Employed,Above Poverty,"Charles County, Maryland",75640,,"75,640.00"
2016,Employment Status By Poverty Status,Employed,Below Poverty,"Charles County, Maryland",2135,,"2,135.00"
2016,Employment Status By Poverty Status,Unemployed,Above Poverty,"Charles County, Maryland",3362,,"3,362.00"
2016,Employment Status By Poverty Status,Unemployed,Below Poverty,"Charles County, Maryland",715,,715
2015,Employment Status By Poverty Status,Labor Force,Above Poverty,"Charles County, Maryland",39169,,"39,169.00"
2015,Employment Status By Poverty Status,Labor Force,Below Poverty,"Charles County, Maryland",3257,,"3,257.00"
2015,Employment Status By Poverty Status,Employed,Above Poverty,"Charles County, Maryland",36943,,"36,943.00"
2015,Employment Status By Poverty Status,Employed,Below Poverty,"Charles County, Maryland",2299,,"2,299.00"
2015,Employment Status By Poverty Status,Unemployed,Above Poverty,"Charles County, Maryland",2226,,"2,226.00"
2015,Employment Status By Poverty Status,Unemployed,Below Poverty,"Charles County, Maryland",958,,958
2017,Median Household Income,,,"Charles County, Maryland",93973,,"93,973.00"
2016,Median Household Income,,,"Charles County, Maryland",91373,,"91,373.00"
2015,Median Household Income,,,"Charles County, Maryland",90607,,"90,607.00"
2017,Total Population,,,"Charles County, Maryland",156021,,"156,021.00"
2016,Total Population,,,"Charles County, Maryland",154357,,"154,357.00"
2015,Total Population,,,"Charles County, Maryland",152754,,"152,754.00"
2017,Unemployment By Gender,,Male,"Charles County, Maryland",4.9,0.049,4.9
2017,Unemployment By Gender,,Female,"Charles County, Maryland",3.5,0.035,3.5
2016,Unemployment By Gender,,Male,"Charles County, Maryland",5.2,0.052,5.2
2016,Unemployment By Gender,,Female,"Charles County, Maryland",4,0.04,4
2015,Unemployment By Gender,,Male,"Charles County, Maryland",6.2,0.062,6.2
2015,Unemployment By Gender,,Female,"Charles County, Maryland",5.2,0.052,5.2
2017,Unemployment By Race,,White,"Charles County, Maryland",3.5,0.035,3.5
2017,Unemployment By Race,,Black,"Charles County, Maryland",5.6,0.056,5.6
2017,Unemployment By Race,,Asian,"Charles County, Maryland",4.1,0.041,4.1
2017,Unemployment By Race,,Hispanic,"Charles County, Maryland",2.4,0.024,2.4
2016,Unemployment By Race,,White,"Charles County, Maryland",,0,0
2016,Unemployment By Race,,Black,"Charles County, Maryland",,0,0
2016,Unemployment By Race,,Asian,"Charles County, Maryland",,0,0
2016,Unemployment By Race,,Hispanic,"Charles County, Maryland",,0,0
2015,Unemployment By Race,,White,"Charles County, Maryland",4.1,0.041,4.1
2015,Unemployment By Race,,Black,"Charles County, Maryland",8.1,0.081,8.1
2015,Unemployment By Race,,Asian,"Charles County, Maryland",10.7,0.107,10.7
2015,Unemployment By Race,,Hispanic,"Charles County, Maryland",4.4,0.044,4.4
2017,Unemployment By Veteran Status,,Veteran,"Charles County, Maryland",3.3,0.033,3.3
2017,Unemployment By Veteran Status,,Non Veteran,"Charles County, Maryland",4.4,0.044,4.4
2016,Unemployment By Veteran Status,,Veteran,"Charles County, Maryland",3.5,0.035,3.5
2016,Unemployment By Veteran Status,,Non Veteran,"Charles County, Maryland",4.8,0.048,4.8
